Month,Day,MaxTemp,Sunshine,Humidity9am,Pressure9am
June,1,31.9,10.9,48.0,1013.3
June,2,33.3,10.8,59.0,1013.4
June,3,32.2,6.3,56.0,1013.1
June,4,,10.4,48.0,1013.3
June,5,,10.6,52.0,1014.9
June,6,,9.6,31.0,1015.7
June,7,,9.9,25.0,1015.8
June,8,,10.7,34.0,1014.9
June,9,,7.4,42.0,1015.5
June,10,31.4,8.3,59.0,1013.9
June,11,32.4,,66.0,1014.5
June,12,31.8,,45.0,1016.1
June,13,30.4,,48.0,1016.2
June,14,29.4,,43.0,1016.2
June,15,29.4,,46.0,1016.5
June,16,29.4,,29.0,1017.1
June,17,29.4,10.4,31.0,1017.3
June,18,29.1,10.1,41.0,1017.6
June,19,29.8,10.5,43.0,1016.7
June,20,30.3,10.9,41.0,1016.6
June,21,30.9,10.8,43.0,1015.8
June,22,31.1,10.6,,1014.7
June,23,32.1,9.9,,
June,24,33.1,10.9,,
June,25,33.0,10.9,,
June,26,33.4,11.0,63.0,
June,27,32.6,8.6,56.0,
June,28,32.8,11.0,46.0,
June,29,31.8,10.6,62.0,
June,30,31.7,10.7,73.0,
